number_version,commit
338,[maven-release-plugin] prepare for next development iteration
339,[maven-release-plugin] prepare release v0.3.45
342,[maven-release-plugin] prepare for next development iteration
351,[maven-release-plugin] prepare release v0.3.51
352,[maven-release-plugin] prepare for next development iteration
353,[maven-release-plugin] prepare release v0.3.52
354,[maven-release-plugin] prepare for next development iteration
355,[maven-release-plugin] prepare release v0.3.53
357,[maven-release-plugin] prepare release v0.3.54
362,[maven-release-plugin] prepare for next development iteration
363,[maven-release-plugin] prepare release v0.3.57
364,[maven-release-plugin] prepare for next development iteration
365,[maven-release-plugin] prepare release v0.3.58
317,[maven-release-plugin] prepare release v0.3.34
368,[maven-release-plugin] prepare for next development iteration
369,[maven-release-plugin] prepare release v0.3.60
421,[maven-release-plugin] prepare release v0.3.86
422,[maven-release-plugin] prepare for next development iteration
423,[maven-release-plugin] prepare release v0.3.87
424,[maven-release-plugin] prepare for next development iteration
427,[maven-release-plugin] prepare release v0.3.89
428,[maven-release-plugin] prepare for next development iteration
429,[maven-release-plugin] prepare release v0.3.90
431,[maven-release-plugin] prepare release v0.3.91
432,[maven-release-plugin] prepare for next development iteration
433,[maven-release-plugin] prepare release v0.3.92
434,[maven-release-plugin] prepare for next development iteration
435,[maven-release-plugin] prepare release v0.3.93
436,[maven-release-plugin] prepare for next development iteration
437,[maven-release-plugin] prepare release v0.3.94
438,[maven-release-plugin] prepare for next development iteration
440,[maven-release-plugin] prepare for next development iteration
441,[maven-release-plugin] prepare release v0.3.96
443,[maven-release-plugin] prepare release v0.3.97
448,[maven-release-plugin] prepare for next development iteration
449,[maven-release-plugin] prepare release v0.3.100
450,[maven-release-plugin] prepare for next development iteration
451,[maven-release-plugin] prepare release v0.3.101
453,[maven-release-plugin] prepare release v0.3.102
454,[maven-release-plugin] prepare for next development iteration
455,[maven-release-plugin] prepare release v0.3.103
456,[maven-release-plugin] prepare for next development iteration
457,[maven-release-plugin] prepare release v0.3.104
459,[maven-release-plugin] prepare release v0.3.105
460,[maven-release-plugin] prepare for next development iteration
461,[maven-release-plugin] prepare release v0.3.106
462,[maven-release-plugin] prepare for next development iteration
463,[maven-release-plugin] prepare release v0.3.107
464,[maven-release-plugin] prepare for next development iteration
420,[maven-release-plugin] prepare for next development iteration
503,[maven-release-plugin] prepare release v0.3.127
504,[maven-release-plugin] prepare for next development iteration
505,[maven-release-plugin] prepare release v0.3.128
506,[maven-release-plugin] prepare for next development iteration
507,[maven-release-plugin] prepare release v0.3.129
508,[maven-release-plugin] prepare for next development iteration
509,[maven-release-plugin] prepare release v0.3.130
465,[maven-release-plugin] prepare release v0.3.108
466,[maven-release-plugin] prepare for next development iteration
467,[maven-release-plugin] prepare release v0.3.109
468,[maven-release-plugin] prepare for next development iteration
469,[maven-release-plugin] prepare release v0.3.110
471,[maven-release-plugin] prepare release v0.3.111
502,[maven-release-plugin] prepare for next development iteration
510,[maven-release-plugin] prepare for next development iteration
511,[maven-release-plugin] prepare release v0.3.131
513,[maven-release-plugin] prepare release v0.3.132
515,[maven-release-plugin] prepare release v0.3.133
517,[maven-release-plugin] prepare release v0.3.134
519,[maven-release-plugin] prepare release v0.3.135
520,[maven-release-plugin] prepare for next development iteration
521,[maven-release-plugin] prepare release v0.3.136
525,[maven-release-plugin] prepare release v0.3.138
526,[maven-release-plugin] prepare for next development iteration
527,[maven-release-plugin] prepare release v0.3.139
529,[maven-release-plugin] prepare release v0.3.140
534,[maven-release-plugin] prepare for next development iteration
535,[maven-release-plugin] prepare release v0.3.143
536,[maven-release-plugin] prepare for next development iteration
537,[maven-release-plugin] prepare release v0.3.144
539,[maven-release-plugin] prepare release v0.3.145
540,[maven-release-plugin] prepare for next development iteration
541,[maven-release-plugin] prepare release v0.3.146
543,[maven-release-plugin] prepare release v0.3.147
545,[maven-release-plugin] prepare release v0.3.148
546,[maven-release-plugin] prepare for next development iteration
547,[maven-release-plugin] prepare release v0.3.149
548,[maven-release-plugin] prepare for next development iteration
549,[maven-release-plugin] prepare release v0.3.150
550,[maven-release-plugin] prepare for next development iteration
551,[maven-release-plugin] prepare release v0.3.151
552,[maven-release-plugin] prepare for next development iteration
553,[maven-release-plugin] prepare release v0.3.152
554,[maven-release-plugin] prepare for next development iteration
555,[maven-release-plugin] prepare release v0.3.153
557,[maven-release-plugin] prepare release v0.3.154
559,[maven-release-plugin] prepare release v0.3.155
560,[maven-release-plugin] prepare for next development iteration
561,[maven-release-plugin] prepare release v0.3.156
562,[maven-release-plugin] prepare for next development iteration
567,[maven-release-plugin] prepare release v0.3.159
568,[maven-release-plugin] prepare for next development iteration
569,[maven-release-plugin] prepare release v0.3.160
570,[maven-release-plugin] prepare for next development iteration
571,[maven-release-plugin] prepare release v0.3.161
577,[maven-release-plugin] prepare release v0.3.164
578,[maven-release-plugin] prepare for next development iteration
581,[maven-release-plugin] prepare release v0.3.166
583,[maven-release-plugin] prepare release v0.3.167
584,[maven-release-plugin] prepare for next development iteration
585,[maven-release-plugin] prepare release v0.3.168
587,[maven-release-plugin] prepare release v0.3.169
588,[maven-release-plugin] prepare for next development iteration
589,[maven-release-plugin] prepare release v0.3.170
590,[maven-release-plugin] prepare for next development iteration
591,[maven-release-plugin] prepare release v0.3.171
593,[maven-release-plugin] prepare release v0.3.172
594,[maven-release-plugin] prepare for next development iteration
595,[maven-release-plugin] prepare release v0.3.173
596,[maven-release-plugin] prepare for next development iteration
597,[maven-release-plugin] prepare release v0.3.174
599,[maven-release-plugin] prepare release v0.3.175
600,[maven-release-plugin] prepare for next development iteration
601,[maven-release-plugin] prepare release v0.3.176
603,[maven-release-plugin] prepare release v0.3.177
604,[maven-release-plugin] prepare for next development iteration
605,[maven-release-plugin] prepare release v0.3.178
606,[maven-release-plugin] prepare for next development iteration
607,[maven-release-plugin] prepare release v0.3.179
608,[maven-release-plugin] prepare for next development iteration
609,[maven-release-plugin] prepare release v0.3.180
610,[maven-release-plugin] prepare for next development iteration
563,[maven-release-plugin] prepare release v0.3.157
613,[maven-release-plugin] prepare release v0.3.182
618,[maven-release-plugin] prepare for next development iteration
620,[maven-release-plugin] prepare for next development iteration
621,[maven-release-plugin] prepare release v0.3.186
622,[maven-release-plugin] prepare for next development iteration
623,[maven-release-plugin] prepare release v0.3.187
624,[maven-release-plugin] prepare for next development iteration
625,[maven-release-plugin] prepare release v0.3.188
626,[maven-release-plugin] prepare for next development iteration
627,[maven-release-plugin] prepare release v0.3.189
629,[maven-release-plugin] prepare release v0.3.190
630,[maven-release-plugin] prepare for next development iteration
631,[maven-release-plugin] prepare release v0.3.191
632,[maven-release-plugin] prepare for next development iteration
633,[maven-release-plugin] prepare release v0.3.192
634,[maven-release-plugin] prepare for next development iteration
635,[maven-release-plugin] prepare release v0.3.193
637,[maven-release-plugin] prepare release v0.3.194
638,[maven-release-plugin] prepare for next development iteration
639,[maven-release-plugin] prepare release v0.3.195
641,[maven-release-plugin] prepare release v0.3.196
643,[maven-release-plugin] prepare release v0.3.197
644,[maven-release-plugin] prepare for next development iteration
645,[maven-release-plugin] prepare release v0.3.198
646,[maven-release-plugin] prepare for next development iteration
647,[maven-release-plugin] prepare release v0.3.199
648,[maven-release-plugin] prepare for next development iteration
649,[maven-release-plugin] prepare release v0.3.200
650,[maven-release-plugin] prepare for next development iteration
651,[maven-release-plugin] prepare release v0.3.201
652,[maven-release-plugin] prepare for next development iteration
653,[maven-release-plugin] prepare release v0.3.202
654,[maven-release-plugin] prepare for next development iteration
655,[maven-release-plugin] prepare release v0.3.203
611,[maven-release-plugin] prepare release v0.3.181
663,[maven-release-plugin] prepare release v0.3.207
